reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
e730cabe-35cb-4ddd-83b1-34aec93d7ae6,Adv Sagar sharma,https://play-lh.googleusercontent.com/a-/ALV-UjVMXApc9aUREQWhff2uUIpg2sXlcvbWgQDxXNRhQ6VdDkxC3HvG,bdiya,5.0,0.0,,2025-08-05 09:40:53,,,,PhonePe
d8817af0-7c65-4c6b-9750-5a9198c10a6f,Sarfraz Khan,https://play-lh.googleusercontent.com/a/ACg8ocJ8pTudf1dN2LB63NvXYCtzbkRKw9W9r0Xcl4acafNMBeOg5A=mo,verry good,5.0,0.0,25.07.11.0,2025-08-05 09:40:38,,,25.07.11.0,PhonePe
bfe88d9e-543a-49d7-b65a-f347ca5cac6c,Sumit Kumar Sumit Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjWgEir9nINO1CBWFFfHHJKvXfBkOY9Fe_1Kx1uZaT47h3Y1JZel,exllent,5.0,0.0,25.07.11.0,2025-08-05 09:40:12,,,25.07.11.0,PhonePe
8abfe69a-3352-4a5e-aa8d-faa32eb12e50,Santosh Kumar,https://play-lh.googleusercontent.com/a/ACg8ocIEXcyTX1nLLluq-jYn36qzz1EmDUVS6iFMG0lBdUsia96umg=mo,very nice,5.0,0.0,25.07.11.0,2025-08-05 09:39:17,,,25.07.11.0,PhonePe
62ec0a07-b2b4-4ada-a83f-8ec16db4179a,Shaikh abdul,https://play-lh.googleusercontent.com/a-/ALV-UjV8rW7Lqc8j16Kbh82fTBwrmnlOpxPP_3U9Pjdl99m4zbQyMDNr,balance chack issue,5.0,0.0,25.06.27.0,2025-08-05 09:38:50,,,25.06.27.0,PhonePe
435118a3-3d8e-4e5a-941b-765301413078,tukaram gade,https://play-lh.googleusercontent.com/a-/ALV-UjXZhV1h-5N7mmTD7spQa5YyCSOaYjY855HDx6QoFg1rEP4gBh8,not good,3.0,0.0,25.06.27.0,2025-08-05 09:38:34,"Hi, Tukaram. This is not the experience we want you to have. You can always reach out to us via the PhonePe help section by tapping on the ""?"" icon. ∞MI",2025-08-05 18:03:48,25.06.27.0,PhonePe
9f51f5d3-64fe-49e1-9bfa-1c5e30c3778c,AVO RJ,https://play-lh.googleusercontent.com/a-/ALV-UjUl8n-6T3L8hSkeRNhZjaUDcHSzvKGl9F10aRSTSaoGxHKoybVf,very useful t,4.0,0.0,25.07.11.0,2025-08-05 09:37:52,,,25.07.11.0,PhonePe
426e3e5d-8369-4bf7-b8c3-e707c6dc78df,Padmini Achar,https://play-lh.googleusercontent.com/a/ACg8ocLZkVK5Ums5Ff2traHnqgluNtO8H9Hna4o1KOrqa3jcKSFYHQ=mo,very easy to operate. Bank takes all precautions against fraud.,5.0,0.0,,2025-08-05 09:33:44,,,,PhonePe
cb7bcfbb-6bf3-4fea-a577-5dda9bb6a08e,R Manjunath Gowda,https://play-lh.googleusercontent.com/a/ACg8ocJuWSmiOJrwWUVgBdr9d1B80KkXWqXFLi26u2FcE5ghLF2uPg=mo,superb,1.0,0.0,25.07.11.0,2025-08-05 09:31:22,"Hi, Manjunath. We value your time in rating us. It motivates us to do our best and keep going. Please note that a 1-star rating indicates dissatisfaction, while a 5-star rating signifies the highest level of satisfaction. ∞ZB",2025-08-05 18:00:48,25.07.11.0,PhonePe
6213c52f-1f0b-4d7a-9cc1-39d3dd56a987,Prakash Katikala,https://play-lh.googleusercontent.com/a-/ALV-UjX9eV2tzGlOB-alBKQo8i0lrwFoz3WBdCX-wW26pEdQfV0i_04,This app is very much useful for money transfers.,5.0,0.0,25.06.27.0,2025-08-05 09:31:03,,,25.06.27.0,PhonePe
